timestamp,nanoseconds,x,y,z
1732130365682841328,682753338,3.4,0.5,2.0
1732130365689462082,689418708,3.4,0.5,2.0
1732130365696114385,696079386,3.4,0.5,2.0
1732130365702784321,702750032,3.4,0.5,2.0
1732130365709439917,709410990,3.4,0.5,2.0
1732130365716117039,716083213,3.4,0.5,2.0
1732130365722773996,722748067,3.4,0.5,2.0
1732130365729433829,729412749,3.4,0.5,2.0
1732130365736114878,736084414,3.4,0.5,2.0
1732130365742761671,742744858,3.4,0.5,2.0
1732130365749440697,749416924,3.4,0.5,2.0
1732130365756112946,756083541,3.4,0.5,2.0
1732130365762769082,762746444,3.4,0.5,2.0
1732130365769444863,769416013,3.4,0.5,2.0
1732130365776105562,776081431,3.4,0.5,2.0
1732130365782788312,782753209,3.4,0.5,2.0
1732130365789442432,789417116,3.4,0.5,2.0
1732130365796101424,796083358,3.4,0.5,2.0
1732130365802794487,802754250,3.4,0.5,2.0
1732130365809445240,809417568,3.4,0.5,2.0
1732130365816116986,816085592,3.4,0.5,2.0
1732130365822802751,822753634,3.4,0.5,2.0
1732130365829463818,829422079,3.4,0.5,2.0
1732130365836120472,836088518,3.4,0.5,2.0
1732130365842773830,842748952,3.4,0.5,2.0
1732130365849523362,849430023,3.4,0.5,2.0
1732130365856131062,856088711,3.4,0.5,2.0
1732130365862787623,862754266,3.4,0.5,2.0
1732130365869467671,869424362,3.4,0.5,2.0
1732130365876129307,876089123,3.4,0.5,2.0
1732130365882806558,882760429,3.4,0.5,2.0
1732130365889459616,889423775,3.4,0.5,2.0
1732130365896121048,896089307,3.4,0.5,2.0
1732130365902803929,902760781,3.4,0.5,2.0
1732130365909464160,909424860,3.4,0.5,2.0
1732130365916135223,916093230,3.4,0.5,2.0
1732130365922785727,922756078,3.4,0.5,2.0
1732130365929454351,929423031,3.4,0.5,2.0
1732130365936135075,936093968,3.4,0.5,2.0
1732130365942794539,942758934,3.4,0.5,2.0
1732130365949476947,949429241,3.4,0.5,2.0
1732130365956124580,956092394,3.4,0.5,2.0
1732130365962790852,962759297,3.4,0.5,2.0
1732130365969472202,969429513,3.4,0.5,2.0
1732130365976124874,976092135,3.4,0.5,2.0
1732130365982862545,982769203,3.4,0.5,2.0
1732130365989460188,989427252,3.4,0.5,2.0
1732130365996116984,996092392,3.4,0.5,2.0
1732130366002805751,2764451,3.4,0.5,2.0
1732130366009451095,9427585,3.4,0.5,2.0
1732130366016132037,16097342,3.4,0.5,2.0
1732130366022797951,22761735,3.4,0.5,2.0
1732130366029452512,29426927,3.4,0.5,2.0
1732130366036134667,36095734,3.4,0.5,2.0
1732130366042791575,42760184,3.4,0.5,2.0
1732130366049460431,49428696,3.4,0.5,2.0
1732130366056114374,56093768,3.4,0.5,2.0
1732130366062783072,62762765,3.4,0.5,2.0
1732130366069463214,69429470,3.4,0.5,2.0
1732130366076118433,76095023,3.4,0.5,2.0
1732130366082797666,82763323,3.4,0.5,2.0
