timestamp,nanoseconds,x,y,z
1731002453944243018,941351168,,,
1731002454046634888,41352448,,,
1731002454146069402,141351424,,,
1731002454244531493,241350400,,,
1731002454347879282,341347328,,,
1731002454445937717,441347328,,,
1731002454544456249,541345792,,,
1731002454646774386,641347584,,,
1731002454745522123,741347584,,,
1731002454844700817,841347072,,,
1731002454946553690,941344000,,,
1731002455045091703,41341440,,,
1731002455144476206,141339648,,,
1731002455246439248,241341696,,,
1731002455345224970,341340928,,,
1731002455444465295,441340160,,,
1731002455546752475,541338880,,,
1731002455645348928,641335296,,,
1731002455744688956,741335296,,,
1731002455846538729,841336576,,,
1731002455945556116,941336064,,,
1731002456044234732,41335808,,,
1731002456146675177,141335040,,,
1731002456245691698,241332480,,,
1731002456344609888,341331200,,,
1731002456446945144,441332992,,,
1731002456545864245,541332224,,,
1731002456644821763,641332480,,,
1731002456747879953,741329408,,,
1731002456845713041,841329152,,,
1731002456944565491,941327872,,,
1731002457046600005,41329664,,,
1731002457145936872,141330176,,,
1731002457244648318,241329664,,,
1731002457346983354,341326336,,,
1731002457446151119,441325824,,,
1731002457544747218,541324032,,,
1731002457646595590,641325056,,,
1731002457745399355,741321472,,,
1731002457844825689,841319680,,,
1731002457946691466,941320704,,,
1731002458045451994,41320704,,,
1731002458144867524,141321216,,,
1731002458246871743,241320960,,,
1731002458346030521,341320192,,,
1731002458444570602,441319680,,,
1731002458546633582,541322496,,,
1731002458645483111,641321984,,,
1731002458744571414,741320704,,,
1731002458847830952,841317888,,,
1731002458945511458,941317376,,,
1731002459044222567,41316608,,,
1731002459147540963,141318912,,,
1731002459245561040,241315840,,,
1731002459344613826,341314816,,,
1731002459446613197,441316608,,,
1731002459545780109,541317632,,,
1731002459644399949,641314304,,,
1731002459746434402,741312256,,,
1731002459845489143,841311744,,,
1731002459944552594,941309696,,,
1731002460046280081,41311488,,,
1731002460145720012,141313024,,,
1731002460244686599,241308928,,,
1731002460346770696,341305088,,,
1731002460445719418,441301248,,,
1731002460544349480,541300480,,,
1731002460646256959,641302272,,,
1731002460745784465,741299200,,,
