timestamp,nanoseconds,roll,pitch
1731002453935351818,931351168,-9.517069810105881e-17,-1.1938440594723112e-16
1731002454037711870,31352448,-9.53628904215008e-17,-1.1942818274127334e-16
1731002454136937703,131351424,-9.553466564515598e-17,-1.1946703377107357e-16
1731002454236179835,231350400,-9.570049384784518e-17,-1.1950429352452345e-16
1731002454337482890,331347328,-9.58744190744548e-17,-1.1954311295538701e-16
1731002454437376138,431347328,-9.603477149114761e-17,-1.19578667693445e-16
1731002454536328601,531345792,-9.620183018534097e-17,-1.1961546952927882e-16
1731002454637521735,631347584,-9.638295896379374e-17,-1.196550945796116e-16
1731002454737059567,731347584,-9.65475130854932e-17,-1.1969084463802486e-16
1731002454836230177,831347072,-9.670477227938966e-17,-1.1972478851615081e-16
1731002454937557458,931344000,-9.687517323432483e-17,-1.1976132503638981e-16
1731002455036520904,31341440,-9.704135783043977e-17,-1.1979671331391668e-16
1731002455136214174,131339648,-9.720188289766163e-17,-1.198306676668903e-16
1731002455237492880,231341696,-9.73673882254112e-17,-1.1986544029235266e-16
1731002455336443101,331340928,-9.752871423245428e-17,-1.19899105259842e-16
1731002455436107716,431340160,-9.768995023638892e-17,-1.1993252517971696e-16
1731002455537773940,531338880,-9.785336705031777e-17,-1.1996616650417875e-16
1731002455636738672,631335296,-9.801572019816209e-17,-1.199993591457719e-16
1731002455736505203,731335296,-9.817381304474522e-17,-1.200314609313866e-16
1731002455837641018,831336576,-9.833764687149379e-17,-1.2006449976220663e-16
1731002455937721092,931336064,-9.850278184973883e-17,-1.2009756561954662e-16
1731002456036024895,31335808,-9.866209400885627e-17,-1.2012924178072477e-16
1731002456137698285,131335040,-9.88230648510948e-17,-1.2016102472849183e-16
1731002456237017434,231332480,-9.897509913301362e-17,-1.2019083750984324e-16
1731002456336299377,331331200,-9.914428740643496e-17,-1.2022377934450983e-16
1731002456437478273,431332992,-9.932006665821537e-17,-1.202577428019697e-16
1731002456537383912,531332224,-9.943828788019132e-17,-1.2028043521907483e-16
1731002456636465585,631332480,-9.961550590714786e-17,-1.2031422639816776e-16
1731002456737509364,731329408,-9.978462101463635e-17,-1.2034622035987096e-16
1731002456837291215,831329152,-9.99249879882959e-17,-1.2037258871719832e-16
1731002456936343066,931327872,-1.0008453251904392e-16,-1.2040235391870753e-16
1731002457037527429,31329664,-1.0024204642293233e-16,-1.204315257202514e-16
1731002457137393924,131330176,-1.0038788276706541e-16,-1.2045834489282683e-16
