timestamp,nanoseconds,x,y,z
1730925669878670239,870374080,,,
1730925669977861353,970379968,,,
1730925670079343274,70381504,,,
1730925670178544233,170383040,,,
1730925670277462488,270387904,,,
1730925670379734821,370388160,,,
1730925670478578009,470388928,,,
1730925670578980002,570393024,,,
1730925670671456344,670395328,,,
1730925670778223983,770398400,,,
1730925670877497395,870405056,,,
1730925670979223508,970407104,,,
1730925671079580145,70407872,,,
1730925671177338440,170407872,,,
1730925671277321057,270414272,,,
1730925671379533825,370418880,,,
1730925671478897363,470419904,,,
1730925671578289532,570423744,,,
1730925671671529602,670428608,,,
1730925671778775910,770431936,,,
1730925671871276125,870438336,,,
1730925671981013087,970442944,,,
1730925672080960457,70449088,,,
1730925672178448948,170449344,,,
1730925672277493976,270454976,,,
1730925672377907402,370461888,,,
1730925672477394699,470467008,,,
1730925672580341830,570472128,,,
1730925672678843038,670475712,,,
1730925672777981471,770474944,,,
1730925672878128974,870480064,,,
1730925672977920903,970483392,,,
1730925673077650116,70487488,,,
1730925673179422308,170485952,,,
1730925673279624905,270487232,,,
1730925673378700935,370486720,,,
1730925673477723944,470491584,,,
1730925673578746989,570492608,,,
1730925673678494295,670497984,,,
1730925673778046428,700501824,,,
1730925692893781104,890913984,,,
1730925692998867320,990921152,,,
1730925693097558780,90925504,,,
1730925693199420431,190928064,,,
1730925693298444713,290933440,,,
1730925693400469292,390937536,,,
1730925693499526533,490940352,,,
1730925693598451285,590943168,,,
1730925693700322146,690945472,,,
1730925693799454740,790946752,,,
1730925693898489390,890950336,,,
1730925694000237649,990953152,,,
1730925694099444887,90953920,,,
1730925694198427362,190955456,,,
1730925694300449859,290959808,,,
1730925694399432859,390962624,,,
1730925694498589114,490968256,,,
1730925694600409028,590972864,,,
1730925694699497467,690975936,,,
1730925694799647575,790978752,,,
1730925694898296694,890985152,,,
1730925695000229016,990989248,,,
1730925695099346855,90992576,,,
1730925695198855638,190994112,,,
1730925695300347837,290997952,,,
1730925695399487765,391000512,,,
1730925695499579589,491005888,,,
1730925695598467426,591008704,,,
1730925695700490403,691012288,,,
1730925695799542618,791014592,,,
1730925695898256589,891019968,,,
1730925696000388257,991024576,,,
1730925696099492404,91027392,,,
1730925696198386423,191028416,,,
1730925696300394891,291032768,,,
1730925696399477203,391035584,,,
1730925696498398964,491040960,,,
1730925696600452968,591042752,,,
1730925696699522720,691045568,,,
1730925696798386684,791050944,,,
1730925696900559954,891055552,,,
1730925696999654783,991058368,,,
1730925697098646615,91064256,,,
1730925697200662985,191068864,,,
1730925697299611009,291072704,,,
1730925697398857844,391078592,,,
1730925697498827661,491083456,,,
1730925697599809931,591087040,,,
1730925697699474348,691091136,,,
1730925697798356717,791096768,,,
1730925697900450966,891101120,,,
1730925697999635210,991105728,,,
1730925698098598937,91111360,,,
1730925698200692035,191115200,,,
1730925698300529956,291118784,,,
1730925698400159778,391121856,,,
1730925698499096364,491126976,,,
1730925698600437453,591136192,,,
1730925698699553805,691139264,,,
1730925698798599969,791145408,,,
1730925698900725737,891149760,,,
1730925698999687141,991152320,,,
1730925699098658222,91157184,,,
1730925699200632369,191160768,,,
1730925699299568948,291164096,,,
1730925699398685726,391170752,,,
1730925699500531294,491175104,,,
1730925699600578900,591178944,,,
1730925699699627244,691181248,,,
1730925699798540936,791187392,,,
1730925699900651193,891192000,,,
1730925699999695713,991195072,,,
1730925700098553737,91201216,,,
1730925700200589892,191205312,,,
1730925700300558950,291209664,,,
1730925700399613696,391212480,,,
1730925700498597209,491218368,,,
1730925700600585654,591222464,,,
1730925700699588812,691225536,,,
1730925700799615142,791228608,,,
1730925700898638445,891233984,,,
1730925701000536784,991238336,,,
1730925701099644633,91241152,,,
1730925701198527199,191242688,,,
1730925701300587478,291247040,,,
1730925701399657585,391250112,,,
1730925701498476057,491256256,,,
1730925701600762981,591262656,,,
1730925701699603303,691265728,,,
1730925701798824532,791270336,,,
1730925701900473162,891274688,,,
1730925701999748778,991276736,,,
1730925702098713126,91282112,,,
1730925702200576612,191284160,,,
1730925702299915807,291289280,,,
1730925702398537771,391292864,,,
1730925702500612538,491296960,,,
1730925702600078855,591300032,,,
1730925702699136239,691305920,,,
1730925702800817166,791310016,,,
1730925702899720546,891313088,,,
1730925702999146799,991318720,,,
1730925703098678282,91323584,,,
1730925703200650017,191328448,,,
1730925703320020840,311332288,,,
1730925703404648368,391332288,,,
1730925703502059799,491337408,,,
1730925703603954859,591342528,,,
1730925703695483623,691345600,,,
1730925703805637578,791351488,,,
1730925703902572890,891357376,,,
1730925704003969532,991361984,,,
1730925704100767554,91366336,,,
1730925704204783936,191372992,,,
1730925704302081980,291377088,,,
