timestamp,nanoseconds,x,y,z
1730994033694855891,693773632,,,
1730994033796324839,794775936,,,
1730994033896061033,893782336,,,
1730994033995883658,993788224,,,
1730994034096718520,93789760,,,
1730994034196066244,193793856,,,
1730994034294839021,293799232,,,
1730994034396764551,394801024,,,
1730994034495712032,494806400,,,
1730994034595460741,594812032,,,
1730994034696528726,694813568,,,
1730994034795801385,793818432,,,
1730994034895256142,893820736,,,
1730994034996364428,993822528,,,
1730994035096088534,93827648,,,
1730994035195564583,193833792,,,
1730994035296982291,294835072,,,
1730994035396014802,393840448,,,
1730994035495350201,493845568,,,
1730994035596897261,593849408,,,
1730994035695771157,693854272,,,
1730994035795796027,793859904,,,
1730994035897054986,894861952,,,
1730994035996446985,994866048,,,
1730994036094710873,93871168,,,
1730994036197169644,193873472,,,
1730994036296271146,293877824,,,
1730994036395541377,393882944,,,
1730994036496547799,493884992,,,
1730994036595122566,593890112,,,
1730994036695414279,693892160,,,
1730994036796445653,793894720,,,
1730994036895931907,893900352,,,
1730994036995668809,993905472,,,
1730994037096796801,94907520,,,
1730994037195895997,193912896,,,
1730994037295181771,294917504,,,
1730994037396473903,393920064,,,
1730994037495797351,493924928,,,
1730994037595360957,593931328,,,
1730994037696378736,693933120,,,
1730994037796511262,794939008,,,
1730994037894908866,893943872,,,
1730994037996745251,994945920,,,
1730994038095944262,93952320,,,
1730994038195093559,194958720,,,
1730994038296920380,293961024,,,
1730994038396187221,394967680,,,
1730994038495455469,493972288,,,
1730994038596893946,594974080,,,
1730994038696229703,693978432,,,
1730994038795531714,794984576,,,
1730994038896681298,893984576,,,
1730994038996024461,993989696,,,
1730994039095404323,93995328,,,
1730994039196821867,193997376,,,
1730994039296241029,294003520,,,
1730994039395390341,394008128,,,
1730994039496728190,494008896,,,
1730994039596334396,594014272,,,
1730994039695474920,695019392,,,
1730994039796833613,794023488,,,
1730994039896042879,895029888,,,
1730994039995131680,994035776,,,
1730994040097175831,95038080,,,
1730994040195898953,194044480,,,
1730994040295423156,295050112,,,
1730994040396672210,394051904,,,
1730994040496320824,494057792,,,
1730994040595446474,594063936,,,
1730994040696770132,694065472,,,
1730994040796323515,794071360,,,
1730994040895395689,895078016,,,
1730994040996652078,995079808,,,
1730994041095858796,94085696,,,
1730994041195477442,195092608,,,
1730994041296928277,294094400,,,
1730994041396155650,394100288,,,
1730994041495549457,494106688,,,
1730994041596754198,594109504,,,
1730994041696032703,694115648,,,
1730994041795356986,794122304,,,
1730994041896823459,895125376,,,
1730994041996002434,994132032,,,
1730994042095083049,94137408,,,
1730994042197397705,195139456,,,
1730994042296222834,295145856,,,
1730994042395606830,395146112,,,
1730994042496912969,494148160,,,
1730994042596606588,594152768,,,
1730994042695113815,694157632,,,
1730994042797138752,794159680,,,
1730994042896217040,894165824,,,
1730994042995466126,995172224,,,
1730994043096947881,95174784,,,
1730994043196660767,194177856,,,
1730994043295273187,294182208,,,
1730994043397209390,395182208,,,
1730994043495562710,494188352,,,
1730994043595572073,595192960,,,
1730994043696953083,694195008,,,
1730994043796308551,794199104,,,
1730994043895820648,894201664,,,
1730994043997102647,995203712,,,
1730994044096278734,95208832,,,
1730994044195360592,194215744,,,
1730994044296981852,295218816,,,
1730994044395936230,394223168,,,
1730994044495341571,494229568,,,
1730994044597373136,594231872,,,
1730994044696046000,695237504,,,
1730994044795337109,794242624,,,
1730994044896943080,895243904,,,
1730994044996178065,995248000,,,
1730994045095542262,94253120,,,
1730994045197222707,194255680,,,
1730994045296362882,294260544,,,
1730994045395743506,394265920,,,
1730994045496879612,495268480,,,
1730994045596609132,594271552,,,
1730994045695547649,694277184,,,
1730994045796870505,794279488,,,
1730994045896125527,894284864,,,
1730994045995422094,995288192,,,
1730994046096869093,94290496,,,
1730994046196466890,195296640,,,
1730994046295685577,295302784,,,
1730994046397090810,395305344,,,
1730994046496370892,494312256,,,
1730994046595383333,594318656,,,
1730994046697221315,694320704,,,
1730994046796055177,795327616,,,
1730994046895822868,894332224,,,
1730994046997014706,994334272,,,
1730994047096554758,95340672,,,
1730994047195520265,194346560,,,
1730994047297018277,295348608,,,
1730994047396275134,394355008,,,
1730994047495518857,495361664,,,
1730994047597128397,594365504,,,
1730994047696488788,694370112,,,
1730994047795637332,794375488,,,
1730994047897116633,894379840,,,
1730994047996819446,994385216,,,
1730994048095623727,94392896,,,
1730994048197329051,194395200,,,
1730994048296458555,294400320,,,
1730994048395464574,395406208,,,
1730994048497957646,495408768,,,
1730994048596241149,595414400,,,
1730994048695453226,694421056,,,
1730994048797296009,794423360,,,
1730994048896130140,894429760,,,
1730994048995589123,994435904,,,
1730994049097068374,94436672,,,
1730994049196585791,194441280,,,
1730994049295407016,294445376,,,
1730994049397338481,394447936,,,
1730994049496339782,494454848,,,
1730994049595290492,594460992,,,
1730994049697128624,695463296,,,
1730994049796987517,795468416,,,
1730994049895716053,895471488,,,
1730994049997111119,994474816,,,
1730994050096226539,94479424,,,
1730994050195574218,194485312,,,
1730994050296989498,295488128,,,
1730994050396611484,394493760,,,
1730994050495318975,494500416,,,
1730994050597639350,595502208,,,
1730994050696207566,695507584,,,
1730994050795319462,795515008,,,
1730994050897658466,894518592,,,
1730994050996254821,994524480,,,
1730994051095572198,94531648,,,
1730994051197915403,195534464,,,
1730994051296819399,294540352,,,
1730994051395935476,395540608,,,
1730994051497608143,494544960,,,
1730994051596386356,594548800,,,
1730994051695681423,694555200,,,
